Rank,Organisation ID,Organisation name,Approved invoice total,Invoice count,First invoice date,Last invoice date
73,100925,Sternfelt Oü,3443.27,7,2025-06-16 00:00:00,2026-05-25 00:00:00
74,107555,VaraTek Oy,3442.79,26,2025-09-24 00:00:00,2026-05-27 00:00:00
75,107785,Ruoholahden Uusi Apteekki,3413.1,9,2025-11-17 00:00:00,2026-05-18 00:00:00
76,105324,Soltan palvelut Oy,3370.54,14,2025-08-01 00:00:00,2026-04-01 00:00:00
77,107473,KaiKal Forest OÜ,3368.0,5,2025-09-03 00:00:00,2025-11-29 00:00:00
78,102642,MYT Yhtiöt Oy,3351.77,5,2025-09-01 00:00:00,2026-04-01 00:00:00
79,107909,DMB-PUTKI OY,3309.3,7,2025-12-17 00:00:00,2026-05-17 00:00:00
80,100479,Knoobus Oy,3301.17,10,2025-06-01 00:00:00,2026-04-01 00:00:00
81,103215,RSE OU,3276.0,10,2025-09-15 00:00:00,2025-10-29 00:00:00
82,104844,AutoFixed Oy,3225.4,23,2025-06-10 00:00:00,2026-04-14 00:00:00
83,106403,Naarajärven tukki Oy,3204.1,19,2025-07-16 00:00:00,2026-04-20 00:00:00
84,105851,ET Saumaus Oy,3192.53,6,2025-10-06 00:00:00,2026-05-18 00:00:00
85,104134,Moretime Finland Oy,3169.57,14,2025-06-01 00:00:00,2026-05-16 00:00:00
86,104439,Talohuolto Vilander Oy,3151.7,14,2025-06-01 00:00:00,2026-05-16 00:00:00
87,106666,Poula Oy,3143.7,14,2025-06-13 00:00:00,2026-03-10 00:00:00
88,106883,Kver oy,3074.7,8,2025-09-18 00:00:00,2026-05-11 00:00:00
89,104442,Teollisuuspojat Oy,3034.77,5,2025-11-01 00:00:00,2026-04-01 00:00:00
90,107900,Ruoka Kärkkäinen Oy,3000.0,6,2026-01-18 00:00:00,2026-05-18 00:00:00
91,106395,Ir Group Oy,2969.3,8,2025-08-26 00:00:00,2025-11-29 00:00:00
92,102863,Arecon Rakennus Oy,2964.9,9,2025-06-16 00:00:00,2026-04-01 00:00:00
93,105503,N-Huolinta Oy,2956.5,4,2025-11-02 00:00:00,2026-05-02 00:00:00
94,107373,Lion Cafe Oy,2954.0,11,2025-07-31 00:00:00,2025-12-02 00:00:00
95,107230,FRANCE EVAPORATION,2952.0,3,2025-06-06 00:00:00,2026-05-23 00:00:00
96,105811,ESTEEL PROJECT OY,2938.53,6,2026-01-13 00:00:00,2026-05-16 00:00:00
97,105236,Isoharja Oy,2925.0,3,2025-11-02 00:00:00,2026-05-02 00:00:00
98,105887,Terästarvike Oy,2916.0,7,2025-11-01 00:00:00,2026-05-01 00:00:00
99,105605,Arcenciel Oy,2909.57,8,2025-10-13 00:00:00,2026-05-28 00:00:00
100,103528,UAB Alenas,2898.0,2,2025-07-30 00:00:00,2025-10-20 00:00:00
